"Hole_Id","Project_Id","Easting","Northing","Elevation","Td","CAMPANA","Drill_Type","Start_Date","End_Date","HL_MOD2025","Collar_Type","Start_Year"
"AD24-0260","QE",327208.80700000,8107920.48000000,3650.88300000,60.00000000,"AD2024","RC",16/1/2024 00:00:00,16/1/2024 00:00:00,1,"DDH",2024
"AD24-0261","QE",327218.35800000,8107925.50200000,3650.01800000,60.00000000,"AD2024","RC",16/1/2024 00:00:00,16/1/2024 00:00:00,1,"DDH",2024
"AD24-0263","QE",327368.04100000,8107910.18500000,3683.75500000,60.00000000,"AD2024","RC",20/1/2024 00:00:00,20/1/2024 00:00:00,1,"DDH",2024
"AD24-0264","QE",327385.30000000,8107915.20000000,3685.20000000,60.00000000,"AD2024","RC",21/1/2024 00:00:00,22/1/2024 00:00:00,1,"DDH",2024
"AD24-0271","QE",327416.05100000,8107936.50700000,3688.69800000,60.00000000,"AD2024","RC",22/1/2024 00:00:00,22/1/2024 00:00:00,1,"DDH",2024
"AD24-0272","QE",327433.88800000,8107948.37800000,3689.81500000,60.00000000,"AD2024","RC",22/1/2024 00:00:00,22/1/2024 00:00:00,1,"DDH",2024
"AD24-0275","QE",327223.03100000,8107940.55700000,3648.82900000,60.00000000,"AD2024","RC",16/1/2024 00:00:00,17/1/2024 00:00:00,1,"DDH",2024
"AD24-0276","QE",327210.43600000,8107938.83700000,3649.94700000,60.00000000,"AD2024","RC",16/1/2024 00:00:00,16/1/2024 00:00:00,1,"DDH",2024
"AD24-0299","QE",327187.39500000,8108022.97700000,3613.23400000,60.00000000,"AD2024","RC",30/1/2024 00:00:00,31/1/2024 00:00:00,1,"DDH",2024
"AD24-0300","QE",327138.61400000,8108021.52600000,3608.61100000,60.00000000,"AD2024","RC",31/1/2024 00:00:00,31/1/2024 00:00:00,1,"DDH",2024
"AD24-0302","QE",327120.99100000,8108022.89900000,3606.92000000,60.00000000,"AD2024","RC",31/1/2024 00:00:00,2/2/2024 00:00:00,1,"DDH",2024
"AD24-0318","QE",327242.92500000,8108028.31600000,3617.77600000,60.00000000,"AD2024","RC",30/1/2024 00:00:00,30/1/2024 00:00:00,1,"DDH",2024
"AD24-0319","QE",327262.60100000,8108034.58000000,3619.46800000,60.00000000,"AD2024","RC",2/2/2024 00:00:00,3/2/2024 00:00:00,1,"DDH",2024
"AD24-0320","QE",327284.00800000,8108036.12200000,3621.06100000,60.00000000,"AD2024","RC",29/1/2024 00:00:00,30/1/2024 00:00:00,1,"DDH",2024
"AD24-0327","QE",326820.73500000,8109080.28000000,3660.25400000,60.00000000,"AD2024","RC",16/4/2024 00:00:00,17/4/2024 00:00:00,1,"DDH",2024
"AD24-0328","QE",327303.00300000,8108056.50900000,3623.45500000,60.00000000,"AD2024","RC",3/2/2024 00:00:00,3/2/2024 00:00:00,1,"DDH",2024
