X,Y,ID
327957.575,8108278.775,INFILL2024
327703.913,8108369.48,INFILL2024
327938.665,8108223.271,INFILL2024
327978.478,8108151.784,INFILL2024
327203.227,8108629.654,INFILL2024
326963.966,8109224.745,INFILL2024
327842.745,8108051.484,INFILL2024
327039.271,8109189.421,INFILL2024
327311.683,8108596.261,INFILL2024
327539.576,8108518.251,INFILL2024
327842.139,8108051.495,INFILL2024
327041.373,8109160.612,INFILL2024
327002.286,8109206.959,INFILL2024
327757.038,8108170.897,INFILL2024
327538.784,8108519.049,INFILL2024
327756.611,8108170.618,INFILL2024
328100.741,8108161.991,INFILL2024
327041.357,8109190.764,INFILL2024
327201.14,8108629.443,INFILL2024
327406.546,8108427.924,INFILL2024
327122.001,8109168.784,INFILL2024
327685.176,8108066.669,INFILL2024
328008.544,8108226.694,INFILL2024
